,hindi_tweets
83,"RT @GhanendraB: CM @ArvindKejriwal जी ने कहा #COVID के खिलाफ युद्ध में दिल्ली सरकार के यह है 5 हथियार :
✅ अस्पतालों में बेड की संख्या बढ़ाई…"
84,"RT @NishantGulati18: भारतीय खाद निगम नरेला ( दिल्ली )| मैं नहीं हो रहा है सोशल डिस्टेंसिंग का पालन|
@AshwaniKumarAdv @CMODelhi 
@ImranHussa…"
85,"RT @CMOfficeUP: #COVID-19 जैसी वैश्विक महामारी के बावजूद समय पर परीक्षा व लॉकडाउन के बावजूद समय से परिणाम देने के लिए, मैं माध्यमिक शिक्षा…"
86,"RT @CMOfficeUP: #COVID-19 जैसी वैश्विक महामारी के बावजूद समय पर परीक्षा व लॉकडाउन के बावजूद समय से परिणाम देने के लिए, मैं माध्यमिक शिक्षा…"
87,"RT @GhanendraB: CM @ArvindKejriwal जी ने कहा #COVID के खिलाफ युद्ध में दिल्ली सरकार के यह है 5 हथियार :
✅ अस्पतालों में बेड की संख्या बढ़ाई…"
88,"@PrashantKishor हमारे प्रधानमंत्री जी और उनके नेता हमारे देश को बस इतना ही दिलासा दिलाने जानते हैं बाकी देशों के 
#Covid"
89,"भारतीय खाद निगम नरेला ( दिल्ली )| मैं नहीं हो रहा है सोशल डिस्टेंसिंग का पालन|
@AshwaniKumarAdv @CMODelhi 
@ImranHussaain 
@ANI 
@AlediaSunil 
@AamAadmiParty 
#coronavirus #COVID #socialmedia
@aajtak
@ZeeNews 
@TwitterRetweets 
#RetweeetPlease https://t.co/aEb9xt9jFW"
90,"RT @Amitjanhit: उत्तर प्रदेश,
गुजरात
मध्य प्रदेश जैसे बीजेपी शासित राज्यों में बीजेपी #corona से लड़ने में पूरी तरह विफल रही और अब 

@Arvin…"
91,"RT @Amitjanhit: उत्तर प्रदेश,
गुजरात
मध्य प्रदेश जैसे बीजेपी शासित राज्यों में बीजेपी #corona से लड़ने में पूरी तरह विफल रही और अब 

@Arvin…"
92,"RT @CMOfficeUP: #COVID-19 जैसी वैश्विक महामारी के बावजूद समय पर परीक्षा व लॉकडाउन के बावजूद समय से परिणाम देने के लिए, मैं माध्यमिक शिक्षा…"
93,"RT @Amitjanhit: उत्तर प्रदेश,
गुजरात
मध्य प्रदेश जैसे बीजेपी शासित राज्यों में बीजेपी #corona से लड़ने में पूरी तरह विफल रही और अब 

@Arvin…"
94,"भारतीय खाद निगम नरेला ( दिल्ली )| मैं नहीं हो रहा है सोशल डिस्टेंसिंग का पालन|
@AshwaniKumarAdv @CMODelhi 
@ImranHussaain 
@ANI 
@AlediaSunil 
@AamAadmiParty 
#coronavirus #COVID #socialmedia https://t.co/uU5kEDYvMd"
95,"RT @Amitjanhit: उत्तर प्रदेश,
गुजरात
मध्य प्रदेश जैसे बीजेपी शासित राज्यों में बीजेपी #corona से लड़ने में पूरी तरह विफल रही और अब 

@Arvin…"
96,RT @hemantrajora_: बड़ी खबर : Hindu Rao के डॉक्टर हड़ताल पर जाने की तैयारी में। HRH आज से कोविड अस्पताल के रूप में शुरू हो रहा है।  डॉक्टर…
97,RT @DuraRamBishnoi: #Covid-19 के खिलाफ लड़ाई में मे एक मोबाइल सैम्पल कलेक्शन वेन तैयार करवा कर स्वास्थ्य विभाग को सौंपी। हमारे इस प्रयास से…
98,"RT @Amitjanhit: उत्तर प्रदेश,
गुजरात
मध्य प्रदेश जैसे बीजेपी शासित राज्यों में बीजेपी #corona से लड़ने में पूरी तरह विफल रही और अब 

@Arvin…"
99,"उत्तर प्रदेश,
गुजरात
मध्य प्रदेश जैसे बीजेपी शासित राज्यों में बीजेपी #corona से लड़ने में पूरी तरह विफल रही और अब 

@ArvindKejriwal सरकार  द्वारा बनाया गया दुनिया का सबसे बड़ा #COVID center का श्रेय BJP लेना चाहती है..
https://t.co/EZUQdlcwgK"
